sample_id,task,candidate_n,first_improvement_list_index,first_final_score_list_index,first_selected_sequence_list_index,explicit_replay_index_n,parent_field_n
ruler_niah_multikey_3_16k:0212,ruler_niah_multikey_3_16k,361,9,9,54,0,0
ruler_niah_multikey_3_16k:0217,ruler_niah_multikey_3_16k,385,14,14,46,0,0
ruler_niah_multikey_3_16k:0220,ruler_niah_multikey_3_16k,385,21,21,46,0,0
ruler_niah_multikey_3_16k:0251,ruler_niah_multikey_3_16k,385,184,184,184,0,0
ruler_niah_multikey_3_16k:0253,ruler_niah_multikey_3_16k,361,187,187,187,0,0
ruler_niah_multikey_3_16k:0362,ruler_niah_multikey_3_16k,385,63,63,63,0,0
ruler_niah_multikey_3_16k:0394,ruler_niah_multikey_3_16k,385,288,288,288,0,0
ruler_niah_multikey_3_16k:0429,ruler_niah_multikey_3_16k,361,19,19,61,0,0
ruler_niah_multikey_3_16k:0464,ruler_niah_multikey_3_16k,385,177,177,177,0,0
ruler_niah_multiquery_16k:0001,ruler_niah_multiquery_16k,385,86,86,90,0,0
ruler_niah_multiquery_16k:0063,ruler_niah_multiquery_16k,385,13,13,13,0,0
ruler_niah_multiquery_16k:0068,ruler_niah_multiquery_16k,385,113,113,113,0,0
ruler_niah_multiquery_16k:0082,ruler_niah_multiquery_16k,385,135,135,155,0,0
ruler_niah_multiquery_16k:0100,ruler_niah_multiquery_16k,385,15,15,46,0,0
ruler_niah_multiquery_16k:0129,ruler_niah_multiquery_16k,385,15,15,15,0,0
ruler_niah_multiquery_16k:0131,ruler_niah_multiquery_16k,385,44,44,46,0,0
ruler_niah_multiquery_16k:0147,ruler_niah_multiquery_16k,385,41,41,41,0,0
ruler_niah_multiquery_16k:0201,ruler_niah_multiquery_16k,385,13,13,37,0,0
ruler_niah_multiquery_16k:0381,ruler_niah_multiquery_16k,385,17,17,17,0,0
ruler_niah_multiquery_16k:0404,ruler_niah_multiquery_16k,385,24,24,24,0,0
ruler_niah_multiquery_16k:0454,ruler_niah_multiquery_16k,385,8,8,39,0,0
ruler_niah_multivalue_16k:0060,ruler_niah_multivalue_16k,385,34,34,48,0,0
ruler_niah_multivalue_16k:0144,ruler_niah_multivalue_16k,385,70,70,70,0,0
ruler_niah_multivalue_16k:0192,ruler_niah_multivalue_16k,385,9,9,12,0,0
ruler_niah_multivalue_16k:0245,ruler_niah_multivalue_16k,385,28,28,28,0,0
ruler_niah_multivalue_16k:0266,ruler_niah_multivalue_16k,385,85,85,90,0,0
ruler_niah_multivalue_16k:0288,ruler_niah_multivalue_16k,385,38,38,39,0,0
ruler_niah_multivalue_16k:0496,ruler_niah_multivalue_16k,385,57,57,57,0,0
ruler_niah_multivalue_16k:0498,ruler_niah_multivalue_16k,385,85,85,85,0,0
ruler_qa_hotpotqa_16k:0006,ruler_qa_hotpotqa_16k,361,356,356,356,0,0
ruler_qa_hotpotqa_16k:0023,ruler_qa_hotpotqa_16k,361,69,69,69,0,0
ruler_qa_hotpotqa_16k:0031,ruler_qa_hotpotqa_16k,361,85,85,85,0,0
ruler_qa_hotpotqa_16k:0059,ruler_qa_hotpotqa_16k,361,56,56,56,0,0
ruler_qa_hotpotqa_16k:0085,ruler_qa_hotpotqa_16k,361,236,236,236,0,0
ruler_qa_hotpotqa_16k:0118,ruler_qa_hotpotqa_16k,361,28,28,28,0,0
ruler_qa_hotpotqa_16k:0140,ruler_qa_hotpotqa_16k,337,32,32,126,0,0
ruler_qa_hotpotqa_16k:0191,ruler_qa_hotpotqa_16k,337,78,78,78,0,0
ruler_qa_hotpotqa_16k:0312,ruler_qa_hotpotqa_16k,361,14,14,17,0,0
ruler_qa_hotpotqa_16k:0337,ruler_qa_hotpotqa_16k,361,9,9,51,0,0
ruler_qa_hotpotqa_16k:0348,ruler_qa_hotpotqa_16k,361,13,13,43,0,0
ruler_qa_hotpotqa_16k:0364,ruler_qa_hotpotqa_16k,385,70,70,70,0,0
ruler_qa_hotpotqa_16k:0454,ruler_qa_hotpotqa_16k,385,55,55,72,0,0
ruler_qa_hotpotqa_16k:0493,ruler_qa_hotpotqa_16k,385,44,44,49,0,0
ruler_qa_squad_16k:0033,ruler_qa_squad_16k,361,71,71,77,0,0
ruler_qa_squad_16k:0056,ruler_qa_squad_16k,337,73,73,73,0,0
ruler_qa_squad_16k:0085,ruler_qa_squad_16k,385,13,13,19,0,0
ruler_qa_squad_16k:0141,ruler_qa_squad_16k,313,20,20,20,0,0
ruler_qa_squad_16k:0161,ruler_qa_squad_16k,313,117,117,159,0,0
ruler_qa_squad_16k:0172,ruler_qa_squad_16k,313,25,25,25,0,0
ruler_qa_squad_16k:0184,ruler_qa_squad_16k,313,147,147,147,0,0
ruler_qa_squad_16k:0305,ruler_qa_squad_16k,313,93,93,93,0,0
ruler_qa_squad_16k:0363,ruler_qa_squad_16k,337,123,123,123,0,0
ruler_qa_squad_16k:0424,ruler_qa_squad_16k,337,64,64,64,0,0
ruler_qa_squad_16k:0429,ruler_qa_squad_16k,337,13,13,13,0,0
ruler_qa_squad_16k:0432,ruler_qa_squad_16k,337,31,31,31,0,0
ruler_qa_squad_16k:0444,ruler_qa_squad_16k,313,52,52,52,0,0
ruler_qa_squad_16k:0445,ruler_qa_squad_16k,313,57,57,62,0,0
ruler_qa_squad_16k:0458,ruler_qa_squad_16k,313,153,153,153,0,0
ruler_qa_squad_16k:0472,ruler_qa_squad_16k,313,8,8,37,0,0
ruler_qa_squad_16k:0491,ruler_qa_squad_16k,361,31,31,31,0,0
ruler_vt_16k:0008,ruler_vt_16k,385,25,61,61,0,0
ruler_vt_16k:0024,ruler_vt_16k,385,121,121,121,0,0
ruler_vt_16k:0044,ruler_vt_16k,385,14,14,14,0,0
ruler_vt_16k:0045,ruler_vt_16k,385,52,52,52,0,0
ruler_vt_16k:0048,ruler_vt_16k,385,27,27,27,0,0
ruler_vt_16k:0050,ruler_vt_16k,385,14,14,49,0,0
ruler_vt_16k:0057,ruler_vt_16k,385,175,175,175,0,0
ruler_vt_16k:0063,ruler_vt_16k,385,11,11,49,0,0
ruler_vt_16k:0065,ruler_vt_16k,385,17,17,66,0,0
ruler_vt_16k:0070,ruler_vt_16k,385,17,17,49,0,0
ruler_vt_16k:0083,ruler_vt_16k,385,39,39,39,0,0
ruler_vt_16k:0086,ruler_vt_16k,385,33,33,39,0,0
ruler_vt_16k:0091,ruler_vt_16k,385,169,169,169,0,0
ruler_vt_16k:0093,ruler_vt_16k,385,32,32,32,0,0
ruler_vt_16k:0098,ruler_vt_16k,385,19,19,19,0,0
ruler_vt_16k:0108,ruler_vt_16k,385,56,56,66,0,0
ruler_vt_16k:0113,ruler_vt_16k,385,114,114,114,0,0
ruler_vt_16k:0123,ruler_vt_16k,385,214,214,214,0,0
ruler_vt_16k:0139,ruler_vt_16k,385,70,70,70,0,0
ruler_vt_16k:0140,ruler_vt_16k,385,110,110,110,0,0
ruler_vt_16k:0149,ruler_vt_16k,385,75,75,75,0,0
ruler_vt_16k:0157,ruler_vt_16k,385,8,8,39,0,0
ruler_vt_16k:0160,ruler_vt_16k,385,104,104,122,0,0
ruler_vt_16k:0164,ruler_vt_16k,385,16,16,16,0,0
ruler_vt_16k:0165,ruler_vt_16k,385,251,251,251,0,0
ruler_vt_16k:0170,ruler_vt_16k,385,42,42,42,0,0
ruler_vt_16k:0172,ruler_vt_16k,385,72,72,72,0,0
ruler_vt_16k:0183,ruler_vt_16k,385,213,213,213,0,0
ruler_vt_16k:0188,ruler_vt_16k,385,21,21,21,0,0
ruler_vt_16k:0194,ruler_vt_16k,385,19,19,46,0,0
ruler_vt_16k:0196,ruler_vt_16k,385,9,9,9,0,0
ruler_vt_16k:0199,ruler_vt_16k,385,52,52,52,0,0
ruler_vt_16k:0203,ruler_vt_16k,385,303,303,303,0,0
ruler_vt_16k:0220,ruler_vt_16k,385,81,81,81,0,0
ruler_vt_16k:0223,ruler_vt_16k,385,26,26,49,0,0
ruler_vt_16k:0226,ruler_vt_16k,385,142,142,142,0,0
ruler_vt_16k:0237,ruler_vt_16k,385,15,15,46,0,0
ruler_vt_16k:0240,ruler_vt_16k,385,225,225,225,0,0
ruler_vt_16k:0270,ruler_vt_16k,385,19,19,19,0,0
ruler_vt_16k:0272,ruler_vt_16k,385,70,70,70,0,0
ruler_vt_16k:0277,ruler_vt_16k,385,44,44,49,0,0
ruler_vt_16k:0279,ruler_vt_16k,385,27,27,27,0,0
ruler_vt_16k:0286,ruler_vt_16k,385,14,14,16,0,0
ruler_vt_16k:0295,ruler_vt_16k,385,25,25,43,0,0
ruler_vt_16k:0299,ruler_vt_16k,385,50,50,50,0,0
ruler_vt_16k:0310,ruler_vt_16k,385,27,27,39,0,0
ruler_vt_16k:0317,ruler_vt_16k,385,23,149,149,0,0
ruler_vt_16k:0322,ruler_vt_16k,385,13,13,13,0,0
ruler_vt_16k:0323,ruler_vt_16k,385,125,125,125,0,0
ruler_vt_16k:0333,ruler_vt_16k,385,35,35,35,0,0
ruler_vt_16k:0342,ruler_vt_16k,385,8,8,10,0,0
ruler_vt_16k:0352,ruler_vt_16k,385,17,17,46,0,0
ruler_vt_16k:0358,ruler_vt_16k,385,11,11,42,0,0
ruler_vt_16k:0362,ruler_vt_16k,385,31,31,31,0,0
ruler_vt_16k:0372,ruler_vt_16k,385,21,21,27,0,0
ruler_vt_16k:0373,ruler_vt_16k,385,11,11,31,0,0
ruler_vt_16k:0376,ruler_vt_16k,385,151,151,151,0,0
ruler_vt_16k:0381,ruler_vt_16k,385,28,28,52,0,0
ruler_vt_16k:0394,ruler_vt_16k,385,172,172,172,0,0
ruler_vt_16k:0396,ruler_vt_16k,385,116,116,120,0,0
ruler_vt_16k:0400,ruler_vt_16k,385,21,21,56,0,0
ruler_vt_16k:0404,ruler_vt_16k,385,102,102,102,0,0
ruler_vt_16k:0405,ruler_vt_16k,385,117,117,117,0,0
ruler_vt_16k:0416,ruler_vt_16k,385,14,14,62,0,0
ruler_vt_16k:0418,ruler_vt_16k,385,27,27,27,0,0
ruler_vt_16k:0420,ruler_vt_16k,385,13,13,19,0,0
ruler_vt_16k:0421,ruler_vt_16k,385,125,125,125,0,0
ruler_vt_16k:0422,ruler_vt_16k,385,18,63,63,0,0
ruler_vt_16k:0425,ruler_vt_16k,385,14,14,16,0,0
ruler_vt_16k:0445,ruler_vt_16k,385,8,8,39,0,0
ruler_vt_16k:0451,ruler_vt_16k,385,33,33,33,0,0
ruler_vt_16k:0454,ruler_vt_16k,385,15,15,35,0,0
ruler_vt_16k:0456,ruler_vt_16k,385,13,13,13,0,0
ruler_vt_16k:0470,ruler_vt_16k,385,9,9,9,0,0
ruler_vt_16k:0477,ruler_vt_16k,385,16,16,39,0,0
ruler_vt_16k:0485,ruler_vt_16k,385,99,99,99,0,0
ruler_vt_16k:0499,ruler_vt_16k,385,17,17,17,0,0
