sample_id,task,cohort,parent_6500_verified,native,counterfactual,effect,sample_best,off,action_sequence,boundary,retained_gain
ruler_niah_multiquery_16k:0131,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.75,0.75,"[""OFF"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",2,1.0
ruler_niah_multiquery_16k:0129,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L6"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_niah_multikey_2_16k:0116,ruler_niah_multikey_2_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",2,0.0
ruler_niah_multikey_2_16k:0331,ruler_niah_multikey_2_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0376,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",7,0.0
ruler_qa_hotpotqa_16k:0239,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L24"", ""L12"", ""L12"", ""L12"", ""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",7,0.0
ruler_niah_multikey_2_16k:0482,ruler_niah_multikey_2_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_niah_multiquery_16k:0381,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0342,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L0"", ""L0"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",3,0.0
ruler_vt_16k:0394,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",8,0.0
ruler_niah_multiquery_16k:0100,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.75,0.75,"[""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,1.0
ruler_niah_multiquery_16k:0147,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L12"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",2,0.0
ruler_vt_16k:0372,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_fwe_16k:0373,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_qa_hotpotqa_16k:0478,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""L24"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,1.0
ruler_niah_multikey_3_16k:0212,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L18"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",2,0.0
ruler_vt_16k:0139,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.4,0.6,0.4,0.4,"[""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",3,0.0
ruler_fwe_16k:0488,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0425,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""OFF"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_vt_16k:0048,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.4,0.2,0.2,0.2,0.2,"[""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_qa_hotpotqa_16k:0493,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""OFF"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",2,1.0
ruler_vt_16k:0164,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.6,0.20000000000000007,0.6,0.6,"[""L12"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_qa_hotpotqa_16k:0348,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_vt_16k:0091,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.6,0.20000000000000007,0.6,0.6,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",7,0.0
ruler_vt_16k:0272,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L18"", ""L6"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",4,0.0
ruler_vt_16k:0240,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.4,0.6,0.4,0.4,"[""OFF"", ""L6"", ""OFF"", ""L6"", ""L6"", ""OFF"", ""L6"", ""L6"", ""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",10,0.0
ruler_vt_16k:0405,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.2,0.6000000000000001,0.6,0.2,"[""L18"", ""ALL"", ""L24"", ""L6"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",5,-1.9999999999999991
ruler_niah_multikey_3_16k:0220,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_vt_16k:0400,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.6,0.4,0.6,0.2,"[""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_vt_16k:0470,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L6"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_fwe_16k:0227,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L24"", ""L18"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",4,0.0
ruler_vt_16k:0421,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.2,0.6000000000000001,0.2,0.2,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L18"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",6,0.0
ruler_niah_multikey_3_16k:0253,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",8,0.0
ruler_qa_squad_16k:0161,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L12"", ""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",5,0.0
ruler_fwe_16k:0472,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L18"", ""L6"", ""OFF"", ""ALL"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""ALL""]",14,0.0
ruler_vt_16k:0362,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_fwe_16k:0351,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L18"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_vt_16k:0050,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.6,0.4,0.6,0.6,"[""L0"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",3,0.0
ruler_fwe_16k:0242,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,"[""L0"", ""L24"", ""OFF"", ""L0"", ""L0"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",7,1.0
ruler_vt_16k:0183,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L18"", ""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",9,0.0
ruler_niah_multivalue_16k:0192,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.75,0.75,"[""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,1.0
ruler_vt_16k:0418,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0188,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""L24"", ""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",3,1.0
ruler_vt_16k:0172,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.6,0.4,0.19999999999999996,0.4,0.4,"[""L18"", ""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",3,0.0
ruler_vt_16k:0499,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0024,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L24"", ""L18"", ""L0"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",5,0.0
ruler_qa_squad_16k:0458,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L24"", ""L24"", ""L24"", ""L24"", ""L0"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",7,0.0
ruler_fwe_16k:0263,ruler_fwe_16k,RESET_ELIGIBLE_167,true,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_fwe_16k:0254,ruler_fwe_16k,RESET_ELIGIBLE_167,true,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[""ALL"", ""L6"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",3,0.0
ruler_qa_squad_16k:0424,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L12"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",4,0.0
ruler_niah_multiquery_16k:0201,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.5,0.5,0.75,0.5,"[""ALL"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,-1.0
ruler_niah_multiquery_16k:0001,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.75,0.75,"[""L24"", ""L18"", ""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",4,1.0
ruler_vt_16k:0373,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.2,0.2,"[""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,1.0
ruler_vt_16k:0098,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0149,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.2,0.8,0.8,0.8,"[""OFF"", ""L18"", ""L0"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",4,-3.0000000000000013
ruler_niah_multiquery_16k:0404,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L24"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_qa_hotpotqa_16k:0035,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0454,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.6,"[""L12"", ""L12"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",3,0.0
ruler_qa_hotpotqa_16k:0031,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L24"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",4,0.0
ruler_niah_multikey_3_16k:0362,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",5,0.0
ruler_niah_multikey_3_16k:0217,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_niah_multikey_3_16k:0071,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L18"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",3,0.0
ruler_vt_16k:0456,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""ALL"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_vt_16k:0352,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_vt_16k:0083,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L0"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",2,0.0
ruler_niah_multikey_3_16k:0074,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""L0"", ""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",3,1.0
ruler_vt_16k:0404,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""OFF"", ""L6"", ""OFF"", ""L24"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",5,0.0
ruler_vt_16k:0451,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_vt_16k:0485,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.6,0.20000000000000007,0.6,0.6,"[""OFF"", ""ALL"", ""L24"", ""L0"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",5,0.0
ruler_qa_squad_16k:0056,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L24"", ""ALL"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",3,0.0
ruler_qa_hotpotqa_16k:0312,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""OFF"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0""]",11,0.0
ruler_vt_16k:0123,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",9,0.0
ruler_vt_16k:0223,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.8,0.8,"[""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,1.0
