sample_id,task,cohort,parent_6500_verified
ruler_cwe_16k:0069,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0070,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0071,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0072,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0073,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0074,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0075,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0076,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0077,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0078,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0079,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0080,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0081,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0082,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0083,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0084,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0085,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0086,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0087,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0088,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0089,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0090,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0091,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0092,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0093,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0094,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0095,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0096,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0097,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0098,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0099,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0100,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0101,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0102,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0103,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0104,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0105,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0106,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0107,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0108,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0109,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0110,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0111,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0112,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0113,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0114,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0115,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0116,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0117,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0118,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0119,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0120,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0121,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0122,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0123,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0124,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0125,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0126,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0127,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0128,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0129,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0130,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0131,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0132,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0133,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0134,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0135,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0136,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0137,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0138,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0139,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0140,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0141,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0142,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0143,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0144,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0145,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0146,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0147,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0148,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0149,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0150,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0151,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0152,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0153,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0154,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0155,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0156,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0157,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0158,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0159,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0160,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0161,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0162,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0163,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0164,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0165,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0166,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0167,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0168,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0169,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0170,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0171,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0172,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0173,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0174,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0175,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0176,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0177,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0178,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0179,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0180,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0181,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0182,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0183,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0184,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0185,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0186,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0187,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0188,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0189,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0190,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0191,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0192,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0193,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0194,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0195,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0196,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0197,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0198,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0199,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0200,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0201,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0202,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0203,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0204,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0205,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0206,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0207,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0208,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0209,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0210,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0211,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0212,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0213,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0214,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0215,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0216,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0217,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0218,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0219,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0220,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0221,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0222,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0223,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0224,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0225,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0226,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0227,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0228,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0229,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0230,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0231,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0232,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0233,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0234,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0235,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0236,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0237,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0238,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0239,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0240,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0241,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0242,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0243,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0244,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0245,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0246,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0247,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0248,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0249,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0250,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0251,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0252,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0253,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0254,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0255,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0256,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0257,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0258,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0259,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0260,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0261,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0262,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0263,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0264,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0265,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0266,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0267,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0268,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0269,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0270,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0271,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0272,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0273,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0274,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0275,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0276,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0277,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0278,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0279,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0280,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0281,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0282,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0283,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0284,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0285,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0286,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0287,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0288,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0289,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0290,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0291,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0292,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0293,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0294,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0295,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0296,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0297,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0298,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0299,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0300,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0301,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0302,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0303,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0304,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0305,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0306,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0307,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0308,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0309,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0310,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0311,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0312,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0313,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0314,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0315,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0316,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0317,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0318,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0319,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0320,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0321,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0322,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0323,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0324,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0325,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0326,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0327,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0328,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0329,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0330,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0331,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0332,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0333,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0334,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0335,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0336,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0337,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0338,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0339,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0340,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0341,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0342,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0343,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0344,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0345,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0346,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0347,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0348,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0349,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0350,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0351,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0352,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0353,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0354,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0355,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0356,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0357,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0358,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0359,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0360,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0361,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0362,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0363,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0364,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0365,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0366,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0367,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0368,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0369,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0370,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0371,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0372,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0373,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0374,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0375,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0376,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0377,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0378,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0379,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0380,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0381,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0382,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0383,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0384,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0385,ruler_cwe_16k,FORMAL_6500,true
ruler_cwe_16k:0386,ruler_cwe_16k,FORMAL_6500,true
